アッチィ,1285,1285,1,名詞,一般,*,*,*,*,アッチィ,アッチィ,アッチィ
アブラ,1285,1285,1,名詞,一般,*,*,*,*,アブラ,アブラ,アブラ
インフェルノ,1285,1285,1,名詞,一般,*,*,*,*,インフェルノ,インフェルノ,インフェルノ
ウスメ,1285,1285,1,名詞,一般,*,*,*,*,ウスメ,ウスメ,ウスメ
ウッメェ,1285,1285,1,名詞,一般,*,*,*,*,ウッメェ,ウッメェ,ウッメェ
ウメェ,1285,1285,1,名詞,一般,*,*,*,*,ウメェ,ウメェ,ウメェ
ウンメェ,1285,1285,1,名詞,一般,*,*,*,*,ウンメェ,ウンメェ,ウンメェ
ウンメッ,1285,1285,1,名詞,一般,*,*,*,*,ウンメッ,ウンメッ,ウンメッ
オイリィ,1285,1285,1,名詞,一般,*,*,*,*,オイリィ,オイリィ,オイリィ
オイリー,1285,1285,1,名詞,一般,*,*,*,*,オイリー,オイリー,オイリー
カンペキ,1285,1285,1,名詞,一般,*,*,*,*,カンペキ,カンペキ,カンペキ
ガッチゴム,1285,1285,1,名詞,一般,*,*,*,*,ガッチゴム,ガッチゴム,ガッチゴム
ガラムマサラ,1285,1285,1,名詞,一般,*,*,*,*,ガラムマサラ,ガラムマサラ,ガラムマサラ
ギッシリ,1285,1285,1,名詞,一般,*,*,*,*,ギッシリ,ギッシリ,ギッシリ
ギッチリ,1285,1285,1,名詞,一般,*,*,*,*,ギッチリ,ギッチリ,ギッチリ
ギットギト,1285,1285,1,名詞,一般,*,*,*,*,ギットギト,ギットギト,ギットギト
ギリリ,1285,1285,1,名詞,一般,*,*,*,*,ギリリ,ギリリ,ギリリ
ショッパ,1285,1285,1,名詞,一般,*,*,*,*,ショッパ,ショッパ,ショッパ
クタヤサイ,1285,1285,1,名詞,一般,*,*,*,*,クタヤサイ,クタヤサイ,クタヤサイ
クッニュクニュ,1285,1285,1,名詞,一般,*,*,*,*,クッニュクニュ,クッニュクニュ,クッニュクニュ
クニュ,1285,1285,1,名詞,一般,*,*,*,*,クニュ,クニュ,クニュ
クリーミィ,1285,1285,1,名詞,一般,*,*,*,*,クリーミィ,クリーミィ,クリーミィ
コラーゲン,1285,1285,1,名詞,一般,*,*,*,*,コラーゲン,コラーゲン,コラーゲン
ゴロッ,1285,1285,1,名詞,一般,*,*,*,*,ゴロッ,ゴロッ,ゴロッ
ゴワムチ,1285,1285,1,名詞,一般,*,*,*,*,ゴワムチ,ゴワムチ,ゴワムチ
シットリ,1285,1285,1,名詞,一般,*,*,*,*,シットリ,シットリ,シットリ
シャキ,1285,1285,1,名詞,一般,*,*,*,*,シャキ,シャキ,シャキ
ショッパ,1285,1285,1,名詞,一般,*,*,*,*,ショッパ,ショッパ,ショッパ
ショッペ,1285,1285,1,名詞,一般,*,*,*,*,ショッペ,ショッペ,ショッペ
ジロボナーラ,1285,1285,1,名詞,一般,*,*,*,*,ジロボナーラ,ジロボナーラ,ジロボナーラ
スカウター,1285,1285,1,名詞,一般,*,*,*,*,スカウター,スカウター,スカウター
スパイシー,1285,1285,1,名詞,一般,*,*,*,*,スパイシー,スパイシー,スパイシー
スメル,1285,1285,1,名詞,一般,*,*,*,*,スメル,スメル,スメル
メチャ,1285,1285,1,名詞,一般,*,*,*,*,メチャ,メチャ,メチャ
ヤサイ,1285,1285,1,名詞,一般,*,*,*,*,ヤサイ,ヤサイ,ヤサイ
巨塊,1285,1285,1,名詞,一般,*,*,*,*,巨塊,キョカイ,キョカイ
混然,1285,1285,1,名詞,一般,*,*,*,*,混然,コンゼン,コンゼン
完飲,1285,1285,1,名詞,一般,*,*,*,*,完飲,カンイン,カンイン
